old_name,new_name
head,head_main
chin_base,chin_base_main
chin1_4,chin1_4_main
chin_half,chin_half_main
chin3_4,chin3_4_main
chin_tip,chin_tip_main
mid,mid_main
fork,fork_main
stripeA,stripeA_main
stripeP,stripeP_main
tail_neck,tail_neck_main
dorsal,dorsal_main
anal,anal_main
caudal_d,caudal_d_main
caudal_v,caudal_v_main
pectoral_L,pectoral_L_main
pectoral_R,pectoral_R_main
pelvic_L,pelvic_L_main
pelvic_R,pelvic_R_main
head_top,head_top
chin_base_top,chin_base_top
chin1_4_top,chin1_4_top
chin_half_top,chin_half_top
chin3_4_top,chin3_4_top
chin_tip_top,chin_tip_top
mid_top,mid_top
fork_top,fork_top
stripeA_top,stripeA_top
stripeP_top,stripeP_top
tail_neck_top,tail_neck_top
dorsal_top,dorsal_top
anal_top,anal_top
caudal_d_top,caudal_d_top
caudal_v_top,caudal_v_top
pectoral_L_top,pectoral_L_top
pectoral_R_top,pectoral_R_top
pelvic_L_top,pelvic_L_top
pelvic_R_top,pelvic_R_top
head_right,head_right
chin_base_right,chin_base_right
chin1_4_right,chin1_4_right
chin_half_right,chin_half_right
chin3_4_right,chin3_4_right
chin_tip_right,chin_tip_right
mid_right,mid_right
fork_right,fork_right
stripeA_right,stripeA_right
stripeP_right,stripeP_right
tail_neck_right,tail_neck_right
dorsal_right,dorsal_right
anal_right,anal_right
caudal_d_right,caudal_d_right
caudal_v_right,caudal_v_right
pectoral_L_right,pectoral_L_right
pectoral_R_right,pectoral_R_right
pelvic_L_right,pelvic_L_right
pelvic_R_right,pelvic_R_right
stage_left_floor,stage_left_floor_main
stage_right_floor,stage_right_floor_main
worm_1,worm_1_top
worm_2,worm_2_top
worm_3,worm_3_top
worm_4,worm_4_top
worm_5,worm_5_top
worm_front,worm_front_main
worm_right,worm_right
pectoral_L_base,pectoral_L_base_main
pectoral_R_base,pectoral_R_base_main
pelvic_L_base,pelvic_L_base_main
pelvic_R_base,pelvic_R_base_main
pectoral_L_base_top,pectoral_L_base_top
pectoral_R_base_top,pectoral_R_base_top
pelvic_L_base_top,pelvic_L_base_top
pelvic_R_base_top,pelvic_R_base_top
pectoral_L_base_right,pectoral_L_base_right
pectoral_R_base_right,pectoral_R_base_right
pelvic_L_base_right,pelvic_L_base_right
pelvic_R_base_right,pelvic_R_base_right
worm_front2,worm_front2_main
worm_front3,worm_front3_main
worm_front4,worm_front4_main
worm_front5,worm_front5_main
worm_right2,worm_right2_right
worm_right3,worm_right3_right
worm_right4,worm_right4_right
worm_right5,worm_right5_right
overhead_TR,overhead_TR_top
overhead_BR,overhead_BR_top
overhead_BL,overhead_BL_top
overhead_TL,overhead_TL_top
side_mirror_TR,side_mirror_TR_right
side_mirror_TL,side_mirror_TL_right
side_mirror_BL,side_mirror_BL_right
side_mirror_BR,side_mirror_BR_right
back_wall_TR,back_wall_TR_main
back_wall_TL,back_wall_TL_main
well_TL,well_TL_main
well_TR,well_TR_main
well_BR,well_BR_main
well_BL,well_BL_main
well_above_TL,well_above_TL_top
well_above_TR,well_above_TR_top
well_above_BR,well_above_BR_top
well_above_BL,well_above_BL_top
well_side_TL,well_side_TL_right
well_side_TR,well_side_TR_right
well_side_BR,well_side_BR_right
well_side_BL,well_side_BL_right
