name,parent,swap
head,,
chin_base,head,
chin1_4,chin_base,
chin_half,chin1_4,
chin3_4,chin_half,
chin_tip,chin3_4,
mid,head,
fork,tail_neck,
stripeA,mid,
stripeP,stripeA,
tail_neck,stripeP,
dorsal,stripeA,
anal,stripeA,
caudal_d,fork,
caudal_v,fork,
pectoral_L,pectoral_L_base,
pectoral_R,pectoral_R_base,
pelvic_L,pelvic_L_base,
pelvic_R,pelvic_R_base,
head_top,,
chin_base_top,head_top,
chin1_4_top,chin_base_top,
chin_half_top,chin1_4_top,
chin3_4_top,chin_half_top,
chin_tip_top,chin3_4_top,
mid_top,head_top,
fork_top,tail_neck_top,
stripeA_top,mid_top,
stripeP_top,stripeA_top,
tail_neck_top,stripeP_top,
dorsal_top,stripeA_top,
anal_top,stripeA_top,
caudal_d_top,fork_top,
caudal_v_top,fork_top,
pectoral_L_top,pectoral_L_base_top,
pectoral_R_top,pectoral_R_base_top,
pelvic_L_top,pelvic_L_base_top,
pelvic_R_top,pelvic_R_base_top,
head_right,,
chin_base_right,head_right,
chin1_4_right,chin_base_right,
chin_half_right,chin1_4_right,
chin3_4_right,chin_half_right,
chin_tip_right,chin3_4_right,
mid_right,head_right,
fork_right,tail_neck_right,
stripeA_right,mid_right,
stripeP_right,stripeA_right,
tail_neck_right,stripeP_right,
dorsal_right,stripeA_right,
anal_right,stripeA_right,
caudal_d_right,fork_right,
caudal_v_right,fork_right,
pectoral_L_right,pectoral_L_base_right,
pectoral_R_right,pectoral_R_base_right,
pelvic_L_right,pelvic_L_base_right,
pelvic_R_right,pelvic_R_base_right,
stage_left_floor,,
stage_right_floor,stage_left_floor,
worm_1,,
worm_2,worm_1,
worm_3,worm_2,
worm_4,worm_3,
worm_5,worm_4,
worm_front,,
worm_right,,
pectoral_L_base,head,
pectoral_R_base,head,
pelvic_L_base,mid,
pelvic_R_base,mid,
pectoral_L_base_top,head_top,
pectoral_R_base_top,head_top,
pelvic_L_base_top,mid_top,
pelvic_R_base_top,mid_top,
pectoral_L_base_right,head_right,
pectoral_R_base_right,head_right,
pelvic_L_base_right,mid_right,
pelvic_R_base_right,mid_right,
