name,parent,swap
head_main,,
chin_base_main,head_main,
chin1_4_main,chin_base_main,
chin_half_main,chin1_4_main,
chin3_4_main,chin_half_main,
chin_tip_main,chin3_4_main,
mid_main,head_main,
fork_main,tail_neck_main,
stripeA_main,mid_main,
stripeP_main,stripeA_main,
tail_neck_main,stripeP_main,
dorsal_main,stripeA_main,
anal_main,stripeA_main,
caudal_d_main,fork_main,
caudal_v_main,fork_main,
pectoral_L_main,pectoral_L_base_main,
pectoral_R_main,pectoral_R_base_main,
pelvic_L_main,pelvic_L_base_main,
pelvic_R_main,pelvic_R_base_main,
head_top,,
chin_base_top,head_top,
chin1_4_top,chin_base_top,
chin_half_top,chin1_4_top,
chin3_4_top,chin_half_top,
chin_tip_top,chin3_4_top,
mid_top,head_top,
fork_top,tail_neck_top,
stripeA_top,mid_top,
stripeP_top,stripeA_top,
tail_neck_top,stripeP_top,
dorsal_top,stripeA_top,
anal_top,stripeA_top,
caudal_d_top,fork_top,
caudal_v_top,fork_top,
pectoral_L_top,pectoral_L_base_top,
pectoral_R_top,pectoral_R_base_top,
pelvic_L_top,pelvic_L_base_top,
pelvic_R_top,pelvic_R_base_top,
head_right,,
chin_base_right,head_right,
chin1_4_right,chin_base_right,
chin_half_right,chin1_4_right,
chin3_4_right,chin_half_right,
chin_tip_right,chin3_4_right,
mid_right,head_right,
fork_right,tail_neck_right,
stripeA_right,mid_right,
stripeP_right,stripeA_right,
tail_neck_right,stripeP_right,
dorsal_right,stripeA_right,
anal_right,stripeA_right,
caudal_d_right,fork_right,
caudal_v_right,fork_right,
pectoral_L_right,pectoral_L_base_right,
pectoral_R_right,pectoral_R_base_right,
pelvic_L_right,pelvic_L_base_right,
pelvic_R_right,pelvic_R_base_right,
stage_left_floor_main,,
stage_right_floor_main,stage_left_floor_main,
worm_1_top,,
worm_2_top,worm_1_top,
worm_3_top,worm_2_top,
worm_4_top,worm_3_top,
worm_5_top,worm_4_top,
worm_front_main,,
worm_right,,
pectoral_L_base_main,head_main,
pectoral_R_base_main,head_main,
pelvic_L_base_main,mid_main,
pelvic_R_base_main,mid_main,
pectoral_L_base_top,head_top,
pectoral_R_base_top,head_top,
pelvic_L_base_top,mid_top,
pelvic_R_base_top,mid_top,
pectoral_L_base_right,head_right,
pectoral_R_base_right,head_right,
pelvic_L_base_right,mid_right,
pelvic_R_base_right,mid_right,
worm_front2_main,worm_front_main,
worm_front3_main,worm_front2_main,
worm_front4_main,worm_front3_main,
worm_front5_main,worm_front4_main,
worm_right2_right,worm_right,
worm_right3_right,worm_right2_right,
worm_right4_right,worm_right3_right,
worm_right5_right,worm_right4_right,
overhead_TR_top,,
overhead_BR_top,overhead_TR_top,
overhead_BL_top,overhead_BR_top,
overhead_TL_top,overhead_BL_top,
side_mirror_TR_right,,
side_mirror_TL_right,side_mirror_TR_right,
side_mirror_BL_right,side_mirror_TL_right,
side_mirror_BR_right,side_mirror_BL_right,
back_wall_TR_main,,
back_wall_TL_main,back_wall_TR_main,
well_TL_main,,
well_TR_main,well_TL_main,
well_BR_main,well_TR_main,
well_BL_main,well_BR_main,
well_above_TL_top,,
well_above_TR_top,well_above_TL_top,
well_above_BR_top,well_above_TR_top,
well_above_BL_top,well_above_BR_top,
well_side_TL_right,,
well_side_TR_right,well_side_TL_right,
well_side_BR_right,well_side_TR_right,
well_side_BL_right,well_side_BR_right,
